iNote	iWine	Type	Vintage	Wine	Locale	Producer	Varietal	MasterVarietal	Country	Region	TastingDate	Defective	Rating	TastingNotes	CScore
4992699	2034702	White	2014	Bedrock Wine Co. Albariño Abrente	USA, California, Napa / Sonoma, Carneros	Bedrock Wine Co.	Albariño	Albariño	USA	California	5/6/2015	False	75	Joint venture between Bedrock and Michael Havens. \nN: Floral, thiol-driven, grapefruit pith. Something off - reminds me of coin polish, chemically. Some terpene character. \nP: Alcohol is elevated. Strong acidity. More florals and white peach on the palate. Strong malic and tartaric acid. Clean, nice, juicy.\nGood structure though the aromatics are a bit off. \n$23 \nScore: Around 7.5	90
4992698	2014447	Red	2013	Calder Wine Company Carignane	USA, California, North Coast, Redwood Valley	Calder Wine Company	Carignane	Carignan	USA	California	5/6/2015	False	90	V: Dark ruby, near opaque.\nN: Savory, dark, a bit of a brown sugar component. \nP: Strong acidity, savory, powerful, intense, with some tannic grip. Bright. Very nice! One of the best wines of the evening. Just barely-there Brettanomyces adding some spicy/earthy/animal character. Good stuff. \nAround 9. \n\n"3.29 tons were destemmed without crushing and fermented in small ¾-ton T-bins. The bins were allowed to use their native yeasts to carry out fermentation, which lasted for 18 days. Each bin was given two punch-downs every day in order to gently extract flavor and color, pressed off prior to complete dryness, and allowed to finish fermentation in barrel. The 2013 matured for 11 months in oak barrels, with one new American oak barrel (11% of the total) joining 8 neutral barrels. The 2013 Carignane was bottled on October 5th, 2014 and was neither fined nor filtered prior to bottling."\n\nHarvest Date 9/19/13\nAlcohol 14.1%\nPH 3.64\nTA 0.601g/100mLs\nProduction 185 cases\n$28	90
4992697	2021722	Red	2012	Calder Wine Company Charbono	USA, California, Napa Valley	Calder Wine Company	Charbono	Charbono	USA	California	5/6/2015	False	85	V: Dark ruby, near opaque. \nN: A bit of refermentation? Lambic character. Green olive character, verging on pyrazines or stem inclusion. \nP: Structured, savory, warm green olive tones with good acidity. Driven by warm, green, baked flavors. Very nice! \n\n"2.75 tons were harvested on October 5th, with another 3.7 tons arriving on October 17th. All lots were destemmed, but not crushed, and fermented in small ¾-ton T-bins with two hand punch-downs every day during fermentation, which lasted approximately 20 days. 50% of the lots fermented on the strength of their native yeasts. The 2012 matured for 16 months in oak barrels, with one new French oak puncheon representing 18% of the total, before being bottled on March 31st, 2014 with neither fining nor filtration."\n\nHarvest Date October 5th and 17th\nAlcohol 12.6%\nPH 3.68\nTA 0.638g/100mLs\nProduction 276 cases\n$28\nAround 8.5	87.5
4992696	2092644	White	2014	Calder Wine Company Riesling	USA, California, Napa Valley	Calder Wine Company	Riesling	Riesling	USA	California	5/6/2015	False	75	Medium gold.\nN: Some off-aromas. Mostly thiol-driven (bitter grapefruit). \nP: Bitter, slight RS (6-8g/L?) reductive. Alcohol: 12.5%? (12.4%! bingo). RS??? They said it's very dry - 0.05g/L \n\nAfter being foot-stomped and given skin contact for about 3 hours, the grapes are pressed and separated into two lots. The first lot (about 2/3 of the fruit) goes into a stainless steel tank and ferments for about 3 weeks at 55F. The second lot goes into 2 stainless steel barrels and sees no temperature control, finishing its fermentation in about 10 days. Both lots fermented in 2013 on the strength of their native yeast. After fermentation completes, the wines are combined into stainless steel, stabilized, and allowed to overwinter, completely untouched, on their fine lees. The 2013 was bottled without filtration on April 1st, 2014.\n\nResidual Sugar 0.04 g/L\nRelease Date 4/15/13\nHarvest Date 9/2/13\nAlcohol 12.4%\nPH 3.26\nTA .720 g/100mLs\nProduction 132 cases\n$20\nAround 7.5	75
4992695	2092643	Red	2013	Leo Steen Grenache Provisor Vineyard	USA, California, Sonoma County, Dry Creek Valley	Leo Steen	Grenache	Grenache	USA	California	5/6/2015	False	85	92% Grenache, 8% Syrah\nLarge neutral barrels. \nA little peppery. This is probably the most classically ripe, full, high-alcohol style wine I've tried. \n[14.1%] Good example of the style. Ripe but also a bit savory. Cherry, cherry, cherry. \nScore: Around 8.5	85
4992694	2073149	Red	1001	Matthiasson Schioppettino Red Wine	USA, California, Napa Valley	Matthiasson	Schioppettino	Schioppettino	USA	California	5/6/2015	False	87	Their first release of Schioppettino (also known as Ribolla Nero) \nModerate ruby. \nWhite pepper and Black pepper. Lots of pepper. Cherry fruit. Earthy and a bit savory. Neutral oak. I initially confused the pepper for sawdust. Strong acidity. Moderate plus alcohol - slightly elevated. [strange - this is only 11.9%] Elevated to high acid. Low+ / Moderate tannins. A bit of cherry but mostly driven by secondaries. This is cool! \n\nDe-stemmed, crushed, fermented in small stainless steel tanks. Punch downs and pump-overs. Neutral barrels for 20 months (4 barrels of 2013) and 8 months (2 barrels of 2014). \npH 3.81\nTA 5.1 g/L\nalcohol 11.9%\n145 cases\nBetween 8.5 and 9.	87
4992693	2048861	Red	2012	Idlewild Nebbiolo Fox Hill Vineyard	USA, California, North Coast, Mendocino County	Idlewild	Nebbiolo	Nebbiolo	USA	California	5/6/2015	False	90	Very light concentration red-ruby in color. \nN: Savory, mushroomy, tomato, rose petals - high toned. Faintly oxidative (not oxidized). Interesting and complex nose. Ripe peach aromatics. Savory baked aromas. I wish I had more time with this. \nP: Ripping tannins. Elevated acidity, elevated alcohol (14-14.5%?). I really like this. Gripping tannins with good chewy texture. Sweet flavors. \nAround 9.	90
4992692	1937041	Red	2013	Idlewild Barbera Fox Hill Vineyard	USA, California, North Coast, Mendocino County	Idlewild	Barbera	Barbera	USA	California	5/6/2015	False	88	Moderate plus concentration bright ruby. \nWhole cluster. \nN: Savory, sweet, red fruit - ripe cherry, overripe peach. \nP: Elevated acidity, strong tannins. Very savory. Not umami tobacco, but stewed tomato. Think bright red. Really nice! A bit of spice - alcohol and stemminess gives a woody spice tone. \nBetween 8.5 and 9	88
4992691	1937043	Red	2013	Idlewild Dolcetto Fox Hill Vineyard	USA, California, North Coast, Mendocino County	Idlewild	Dolcetto	Dolcetto	USA	California	5/6/2015	False	88	Neutral oak, full malo. \nModerate minus ruby, Moderate minus concentration. \nN: Smelling a bit of stemminess. Ripe cherry, hints of oxidative warm round notes (not oxidized, just in that direction). Maybe this is whole-cluster character?\nP: A bit woody, maybe stems? It's grippy, good, ripe, has a bit of a punch of elevated acidity, though the tannins have the final say. Nice! \nBetween 8.5 and 9	88
4992690	2077235	Red	2014	Idlewild The Bird Red	USA, California, North Coast, Mendocino County	Idlewild	Nebbiolo Blend	Nebbiolo	USA	California	5/6/2015	False	87	Red table blend. Dolcetto, Nebbiolo, Barbera. \nModerate minus ruby-garnet\nN: Savory, earthy, sweet, brown aromas. A bit buttery, like fresh pie dough. \nP: It's excellent. Baked, plush, round, ripe fruit, good tannic grip. Medium body, medium alcohol, medium acid. Simple and good! \nBetween 8.5 and 9	87
4992689	2048864	Rosé	2014	Idlewild The Flower	USA, California, North Coast	Idlewild	Rosé Blend	Rosé Blend	USA	California	5/6/2015	False	87	Nebbiolo, Dolcetto, Barbera.\nPale salmon-pink/rose petal in the glass. Light concentration. \nN: A bit of stink on the nose. A bit of earthiness. I like it! Ripe but indistinct and complex fruit. I like it - it's nicely blurred. \nP: Dry. Savory. Earthy. Ripe pear. Not super aromatic. Light-bodied with good elevated acidity (combo of tartaric and malic) and overall light balance. Light cherries. \nBetween 8.5 and 9	87
4992688	2048863	White	2014	Idlewild The Bee	USA, California, North Coast	Idlewild	White Blend	White Blend	USA	California	5/6/2015	False	87	Muscat Canelli, a bit of Friulano for structure, and a touch of Cortese. \nNearly clear in the glass. Very light straw. \nN: Nice fruity terpenes. Fresh, almost frozen lychees. High-toned terpenes. Thiols are there but secondary. \nP: Some phenolic bitterness that the nose foreshadowed. Light, structured, good acidity, has bitterness. Alcohol is in control. I like this. This is good. Nicely-balanced light-style wine with big aromatics. \nBetween 8.5 and 9	89
4992687	2044949	White	2014	Idlewild Arneis Fox Hill Vineyard	USA, California, North Coast, Mendocino County	Idlewild	Arneis	Arneis	USA	California	5/6/2015	False	90	Near clear in the glass\nNice nose of apricots - fruit stands in the middle of California in the summer. A hint of robitussin - slight medicinal aspect. Tart on the nose. \nPalate: Dry with maybe just a touch of RS (&lt;3g/L). Honeyed character. Some viscosity, oiliness, weight. Tart acidity and taut balance. Super nutty and savory - slightly in the oxidative direction (this is varietal - bitter almond and apricot!) Really good! \nAround 9	90
4992685	1935535	White	2013	Ryme Vermentino His Las Brisas Vineyard	USA, California, Napa / Sonoma, Carneros	Ryme	Vermentino	Vermentino	USA	California	5/6/2015	False	87	"His" and "Hers" Vermentino are so named because the winemakers disagreed for the first time, and decided to vinify according to both of their tastes. \n\nN: Low to moderate intensity. Darker color. \nN: Baby wipes (ethyl acetate? ????) Earthier, more going on in the nose than the "Hers." \nRests on lees for a while. \nP: Somewhat richer \nDry, weighty, some phenolic bitterness. \nWell-balanced acidity in a heftier style. \n\nFermented whole-cluster without de-stemming. Crushed by foot. Fermented on the skins for 2 weeks, aged 2 months in barrel. \nI like this a bit better than the Hers:\nBetween 8.5 and 9	88
4992684	2048855	White	2014	Ryme Vermentino Hers Las Brisas Vineyard	USA, California, Napa / Sonoma, Carneros	Ryme	Vermentino	Vermentino	USA	California	5/6/2015	False	85	"His" and "Hers" Vermentino are so named because the winemakers disagreed for the first time, and decided to vinify according to both of their tastes. \n\nN: Low to moderate intensity. Fresh on the nose. Vaguely pommaceous fruit. Unripe apple. \nDry, weighty, some phenolic bitterness. Slight frizzante. \nFresher, cleaner style. \n\nWhole-cluster pressed, settled clean, and then fermented in old barrels and stainless steel. There was a spontaneous partial malolactic fermentation. \nI like this, but I think I prefer the weightier skin-contact on the "His". \nAround 8.5	87.5
4992682	2092638	White	2014	Rein Riesling	USA, California, North Coast, Anderson Valley	Rein	Riesling	Riesling	USA	California	5/6/2015	False	85	Near clear in the glass. \nN: Some fruity passionfruit. I got a faint whiff of botrytis at first, but now it's gone. Terpene-driven. \nP: 10g RS? 13% Alcohol? [Way off! 3.8g/L RS, 11.4% 3.0 pH]Good acidity, equally tartaric and malic. \nAround 8.5	85
4992681	1918429	White	2013	Rein Riesling	USA, California, North Coast, Anderson Valley	Rein	Riesling	Riesling	USA	California	5/6/2015	False	90	James' first vintage - knocked it out of the park! \nRS 4g/L (seems sweeter than that). \nNose: Really nice, botrytis-driven. Vaguely lemony. Expressive. A bit of earthy tones - shaved cardboard? autolysis? not sure. But there's some complexity to it. \nP: Reminds me of a mostly dry Austrian Riesling Smaragd. strong acid, lemony finish. 11.2% alcohol - very light. Strong botrytis finish. Very good. I really like this. A bit generous, kiss of RS. I really like this. \nAround 9	90
4992680	2092637	White	2014	Rein Pinot Blanc Schrader Ranch	USA, California, North Coast, Mendocino	Rein	Pinot Blanc	Pinot Blanc	USA	California	5/6/2015	False	80	Pale straw, reflections of green in the glass. \nN: Weird off-aromas. Bitter. Stinky, acrid. Perhaps reductive. \nP: Ah it makes sense. Diacetyl. Buttered popcorn jellybeans. Has a diacetyl problem. Dry, a touch of alcohol heat. Moderate plus acid - overall impression is acidic, not because acidity is high but because the wine is overall a bit light/thin. \n$22\nAround 8	80
4992679	2020711	White	2013	Rein Pinot Blanc Schrader Ranch	USA, California, North Coast, Mendocino	Rein	Pinot Blanc	Pinot Blanc	USA	California	5/6/2015	False	80	Just bright, slightly cloudy. Light straw, light+ concentration, reflections of green. \nN: Something really off. Smells off. Like paper shavings? Don't know how to describe this. \nP: Strong acidity, lemony, a little hot? 13.5%? [13.6% Alcohol! Bingo! ] (maybe my palate is getting tired?) not super interesting. \n$22\nAround 8	85
4992678	2092636	White	2013	Stark Three Vineyards	USA, California	Stark	White Rhone Blend	White Rhone Blend	USA	California	5/6/2015	False	83	Grenache Blanc (72%), Viognier (14%), Marsanne (7%), Rousanne (7%)\nLight straw verging on green in the glass. \nNose: Vaguely floral, a bit of thiol character. Smells like cool water, sake - underripe pear, ice. Smells like water. \nPalate: Feels flat and weighty, but then has a fair bit of acid and moderate minus phenolic bitterness. Aromatics aren't as terpene-driven as I'd expect, but the structure is nice. \n$22\nBetween 8 and 8.5	83
4992676	2034544	Red	2013	A Donkey and Goat Mourvedre The Prospector El Dorado County	USA, California, Sierra Foothills, El Dorado County	A Donkey and Goat	Mourvedre	Mourvedre	USA	California	5/6/2015	False	80	N: Smells off. Weird aromas. \nP: Very tart, structured. Some tannic grip. Dried cherry. Elevated acidity, moderate minus grippy tannins. Good structure but the aroma is off. \n$30\nAround 8	80
4992674	2034543	Rosé	2014	A Donkey and Goat Grenache Gris Isabel's Cuvée Gibson Ranch	USA, California, North Coast, McDowell Valley	A Donkey and Goat	Grenache Gris	Grenache	USA	California	5/6/2015	False	80	Pale Strawberry in the glass, Medium concentration for a rose. \nN: Not very aromatic. A bit of tight apple, underripe. \nP. Slight impression of RS. More structure than the Sluice box. Can't really understand what's driving this wine. Decent acidity. Phenolic bitterness on the back-end. \n100+ year old Grenache Gris vines.\n50% was made like a white wine - whole cluster press to neutral french oak.\n50% was de-stemmed and soaked on skins for 24 hrs, then neutral barrels. went through natural malo. \n$26\nAround 8	87.5
4992673	1907587	White	2013	A Donkey and Goat Sluice Box	USA, California, Sierra Foothills, El Dorado County	A Donkey and Goat	White Rhone Blend	White Rhone Blend	USA	California	5/6/2015	False	75	Marsanne, Vermentino, Grenache Blanc, Picpoul. \nBlend: 31%M/48%V/13%GB/9%P)\nTablas Creek clones. \nCloudy gold. moderate concentration. \nA bit of a lambic nose (re-fermentation in bottle? bacterial? Brett?). Weird. Underripe pear. Metallic. \nP: Dry, maybe a slight pillow of RS. Moderate malic acid. Mostly savory, earthy flavors. Slight phenolic bitterness on the back end. Diminished acidity. Light. Earthy, not very aromatic. \n13.2% Alcohol\n50% skin fermented, 50% whole cluster. 9 months in neutral barrels. Bottled unfiltered. 311 cases. \nHarvested Aug 27- Sept 5.\n$28\nAround 7.5	87
